,kanji,strokes,frequency,grade,jlpt,parts,radicals,on_readings,kun_readings,on_readings_compounds,kun_readings_compounds,main_meaning,wanikani_level,Number of Appearances on Twitter,Percentage of Appearances on Twitter,Rank of Appearances on Twitter,Number of Appearances on Wikipedia,Percentage of Appearances on Wikipedia,Rank of Appearances on Wikipedia,Number of Appearances on News,Percentage of Appearances on News,Rank of Appearances on News,Number of Appearances on Aozora,Percentage of Appearances on Aozora,Rank of Appearances on Aozora,Genki_Lesson
824,鹿,11.0,957.0,junior high,N1,"{'广': 'http:////jisho.org/search/%E5%B9%BF%20%23kanji', '比': 'http:////jisho.org/search/%E6%AF%94%20%23kanji', '鹿': 'http:////jisho.org/search/%E9%B9%BF%20%23kanji'}",{'鹿': 'deer'},{'ロク': 'http:////jisho.org/search/%E9%B9%BF%20%E3%82%8D%E3%81%8F'},"{'しか': 'http:////jisho.org/search/%E9%B9%BF%20%E3%81%97%E3%81%8B', 'か': 'http:////jisho.org/search/%E9%B9%BF%20%E3%81%8B'}","['鹿  【シカ】  deer (esp. the sika deer, Cervus nippon), cervid', '鹿砦  【ロクサイ】  abatis', '神鹿  【シンロク】  deer raised upon the grounds of a shrine (who serve as messengers of the gods)', '馴鹿  【トナカイ】  reindeer (Rangifer tarandus)']","['鹿  【しか】  deer (esp. the sika deer, Cervus nippon), cervid', '鹿猪  【しかいのしし】  babirusa (Babyrousa babyrussa)', '牡鹿  【おじか】  buck (male deer)', '赤鹿  【あかしか】  red deer (Cervus elaphus)', '鹿  【しか】  deer (esp. the sika deer, Cervus nippon), cervid', '鹿  【かのしし】  deer meat, deer', '牡鹿  【おじか】  buck (male deer)', '赤鹿  【あかしか】  red deer (Cervus elaphus)']",['deer'],36.0,4304.0,0.0004301889493014727,501.0,272119.0,0.00034684081681322725,651.0,3845.0,0.0003726297308712054,625.0,17721.0,0.00034423527611841695,653.0,
825,式,6.0,251.0,grade 3,N3,"{'工': 'http:////jisho.org/search/%E5%B7%A5%20%23kanji', '弋': 'http:////jisho.org/search/%E5%BC%8B%20%23kanji'}","{'弋': 'shoot, arrow'}",,{'シキ': 'http:////jisho.org/search/%E5%BC%8F%20%E3%81%97%E3%81%8D'},"['式  【シキ】  equation, formula, expression, ceremony, style, enforcement regulations (of the ritsuryo)', '式場  【シキジョウ】  ceremonial hall (e.g. wedding, funeral), hall for ceremonies, place of ceremony', '硬式  【コウシキ】  hard (esp. of hardball, tennis, etc.)', '型式  【カタシキ】  model (e.g. of a vehicle), type']",,"['style', 'ceremony', 'rite', 'function', 'method', 'system', 'form', 'expression']",15.0,3898.0,0.00038960885789431706,545.0,1645533.0,0.0020973839012091047,103.0,11920.0,0.0011552006221026705,226.0,36195.0,0.0007030977833703573,323.0,
826,識,19.0,496.0,grade 5,N3,"{'戈': 'http:////jisho.org/search/%E6%88%88%20%23kanji', '日': 'http:////jisho.org/search/%E6%97%A5%20%23kanji', '立': 'http:////jisho.org/search/%E7%AB%8B%20%23kanji', '言': 'http:////jisho.org/search/%E8%A8%80%20%23kanji', '音': 'http:////jisho.org/search/%E9%9F%B3%20%23kanji'}",{'言 (訁)': 'speech'},{'シキ': 'http:////jisho.org/search/%E8%AD%98%20%E3%81%97%E3%81%8D'},"{'し.る': 'http:////jisho.org/search/%E8%AD%98%20%E3%81%97%E3%82%8B', 'しる.す': 'http:////jisho.org/search/%E8%AD%98%20%E3%81%97%E3%82%8B%E3%81%99'}","['識  【シキ】  acquaintanceship, vijnana, consciousness, written by...', '識者  【シキシャ】  well-informed person, thinking person, intelligent person', '光学式文字認識  【コウガクシキモジニンシキ】  optical character recognition, OCR', '目的意識  【モクテキイシキ】  sense of purpose']","['知る  【しる】  to be aware of, to know, to be conscious of, to cognize, to cognise, to notice, to feel, to understand, to comprehend, to grasp, to remember, to be acquainted with (a procedure), to experience, to go through, to learn, to be acquainted with (a person), to get to know, to concern', '記す  【しるす】  to write down, to note, to jot down, to remember', '記す  【しるす】  to write down, to note, to jot down, to remember']","['discriminating', 'know', 'write']",17.0,2777.0,0.0002775638271863824,689.0,186794.0,0.00023808621792601757,794.0,4203.0,0.00040732451465583263,595.0,34950.0,0.0006789133175519821,332.0,
827,軸,12.0,1261.0,junior high,N1,"{'｜': 'http:////jisho.org/search/%EF%BD%9C%20%23kanji', '日': 'http:////jisho.org/search/%E6%97%A5%20%23kanji', '田': 'http:////jisho.org/search/%E7%94%B0%20%23kanji', '車': 'http:////jisho.org/search/%E8%BB%8A%20%23kanji'}","{'車': 'cart, car'}",,{'ジク': 'http:////jisho.org/search/%E8%BB%B8%20%E3%81%98%E3%81%8F'},"['軸  【ジク】  axis, shaft, axle, center, centre, focal point, key point, stalk, stem, hanging scroll', '軸足  【ジクアシ】  pivot leg', '基軸  【キジク】  basis, foundation, core, criterion, standard', '中軸  【チュウジク】  axis, pivot, central figure, key man']",,"['axis', 'pivot', 'stem', 'stalk', 'counter for book scrolls']",42.0,158.0,1.579225232101131e-05,2018.0,64210.0,8.184157977788144e-05,1297.0,504.0,4.884405314930755e-05,1444.0,1485.0,2.8846531518303093e-05,2359.0,
828,七,2.0,115.0,grade 1,N5,"{'乙': 'http:////jisho.org/search/%E4%B9%99%20%23kanji', 'ノ': 'http:////jisho.org/search/%E3%83%8E%20%23kanji', '匕': 'http:////jisho.org/search/%E5%8C%95%20%23kanji'}",{'一': 'one'},{'シチ': 'http:////jisho.org/search/%E4%B8%83%20%E3%81%97%E3%81%A1'},"{'なな': 'http:////jisho.org/search/%E4%B8%83%20%E3%81%AA%E3%81%AA', 'なな.つ': 'http:////jisho.org/search/%E4%B8%83%20%E3%81%AA%E3%81%AA%E3%81%A4', 'なの': 'http:////jisho.org/search/%E4%B8%83%20%E3%81%AA%E3%81%AE'}","['七  【シチ】  seven, hepta-', '７月  【シチガツ】  July, seventh month of the lunar calendar', 'セシウム１３７  【セシウムヒャクサンジュウシチ】  cesium 137 (Cs-137), caesium 137', ""五七  【ゴシチ】  five and seven, 35th day after a person's death""]","['七  【しち】  seven, hepta-', '７０  【しちじゅう】  seventy, 70', '七つ  【ななつ】  seven', '七帯アルマジロ  【ななつおびアルマジロ】  seven-banded armadillo (Dasypus septemcinctus)', '七日  【なのか】  the seventh day of the month, seven days']",['seven'],1.0,1405.0,0.00014043110450013226,1017.0,200395.0,0.00025542194953416216,766.0,1993.0,0.00019314721810827367,878.0,64212.0,0.0012473356780156755,168.0,3
829,𠮟,5.0,,,,{},"{'口': 'mouth, opening'}",,,,,[''],,,,,,,,,,,,,,
830,失,5.0,447.0,grade 4,N3,"{'ノ': 'http:////jisho.org/search/%E3%83%8E%20%23kanji', '二': 'http:////jisho.org/search/%E4%BA%8C%20%23kanji', '人': 'http:////jisho.org/search/%E4%BA%BA%20%23kanji', '大': 'http:////jisho.org/search/%E5%A4%A7%20%23kanji'}","{'大': 'big, very'}",{'シツ': 'http:////jisho.org/search/%E5%A4%B1%20%E3%81%97%E3%81%A4'},"{'うしな.う': 'http:////jisho.org/search/%E5%A4%B1%20%E3%81%86%E3%81%97%E3%81%AA%E3%81%86', 'う.せる': 'http:////jisho.org/search/%E5%A4%B1%20%E3%81%86%E3%81%9B%E3%82%8B'}","['失  【シツ】  loss (of something), disadvantage, mistake, error, failure, flaw, defect, error', ""失業  【シツギョウ】  unemployment, losing one's job, becoming unemployed"", '得失  【トクシツ】  advantages and disadvantages, plus and minuses', '敵失  【テキシツ】  error made by the enemy or opposing team']","['失う  【うしなう】  to lose, to miss (a change, opportunity), to lose (a loved one), to be bereaved of, to concede (goals, points, etc.)', '失せる  【うせる】  to disappear, to vanish, to fade away, to go, to leave, to die']","['lose', 'error', 'fault', 'disadvantage', 'loss']",7.0,4116.0,0.0004113981680587504,520.0,280864.0,0.0003579871275928188,635.0,7308.0,0.0007082387706649594,373.0,32862.0,0.0006383533459626103,346.0,
831,室,9.0,550.0,grade 2,N4,"{'厶': 'http:////jisho.org/search/%E5%8E%B6%20%23kanji', '土': 'http:////jisho.org/search/%E5%9C%9F%20%23kanji', '宀': 'http:////jisho.org/search/%E5%AE%80%20%23kanji', '至': 'http:////jisho.org/search/%E8%87%B3%20%23kanji'}",{'宀': 'roof'},{'シツ': 'http:////jisho.org/search/%E5%AE%A4%20%E3%81%97%E3%81%A4'},{'むろ': 'http:////jisho.org/search/%E5%AE%A4%20%E3%82%80%E3%82%8D'},"['室  【シツ】  room, wife (of someone of high rank), scabbard, Chinese ""Encampment"" constellation (one of the 28 mansions)', '室長  【シツチョウ】  section chief, laboratory manager, office head, room monitor', '同室  【ドウシツ】  same room, sharing a room, occupying the same room', '皇室  【コウシツ】  Imperial household']","['室  【むろ】  greenhouse, icehouse, cellar', '室町  【むろまち】  Muromachi (era 1392-1573, or 1333-1573, or 1336-1573)', '石室  【せきしつ】  stone hut, rock chamber, tomb, stone burial chamber', '氷室  【こおりむろ】  ice house, ice room, cold room']","['room', 'apartment', 'chamber', 'greenhouse', 'cellar']",6.0,4285.0,0.00042828988098438906,505.0,412859.0,0.0005262269550773455,458.0,4675.0,0.0004530673580813746,555.0,39333.0,0.0007640542923969129,294.0,16
832,疾,10.0,1577.0,junior high,N1,"{'疔': 'http:////jisho.org/search/%E7%96%94%20%23kanji', '矢': 'http:////jisho.org/search/%E7%9F%A2%20%23kanji', '乞': 'http:////jisho.org/search/%E4%B9%9E%20%23kanji'}",{'疒': 'sickness'},{'シツ': 'http:////jisho.org/search/%E7%96%BE%20%E3%81%97%E3%81%A4'},{'はや.い': 'http:////jisho.org/search/%E7%96%BE%20%E3%81%AF%E3%82%84%E3%81%84'},"['疾雷  【シツライ】  sudden and violent thunder', '癈疾  【ハイシツ】  disablement', '廃疾  【ハイシツ】  disablement, disability']","['早い  【はやい】  fast, quick, hasty, brisk, early (in the day, etc.), premature, (too) soon, not yet, (too) early, easy, simple, quick']",['rapidly'],54.0,179.0,1.7891222566209022e-05,1956.0,35690.0,4.549020374198082e-05,1579.0,337.0,3.2659614903406046e-05,1592.0,3253.0,6.319041550777102e-05,1749.0,
833,執,11.0,800.0,junior high,N1,"{'丶': 'http:////jisho.org/search/%E4%B8%B6%20%23kanji', 'ノ': 'http:////jisho.org/search/%E3%83%8E%20%23kanji', '亠': 'http:////jisho.org/search/%E4%BA%A0%20%23kanji', '十': 'http:////jisho.org/search/%E5%8D%81%20%23kanji', '九': 'http:////jisho.org/search/%E4%B9%9D%20%23kanji', '土': 'http:////jisho.org/search/%E5%9C%9F%20%23kanji', '立': 'http:////jisho.org/search/%E7%AB%8B%20%23kanji', '辛': 'http:////jisho.org/search/%E8%BE%9B%20%23kanji'}",{'土': 'earth'},"{'シツ': 'http:////jisho.org/search/%E5%9F%B7%20%E3%81%97%E3%81%A4', 'シュウ': 'http:////jisho.org/search/%E5%9F%B7%20%E3%81%97%E3%82%85%E3%81%86'}",{'と.る': 'http:////jisho.org/search/%E5%9F%B7%20%E3%81%A8%E3%82%8B'},"[""執務  【シツム】  performance of one's official duties"", '執拗い  【シツコイ】  insistent, obstinate, persistent, tenacious, too rich (taste, etc.), fatty, heavy, greasy', '中執  【チュウシツ】  Central Executive Committee', '確執  【カクシツ】  discord, antagonism', '執  【シュウ】  attachment, obsession, persistence', '執行  【シッコウ】  execution, carrying out, performance, enforcement, exercise, service, lead monk performing various tasks in a temple', '愛執  【アイシュウ】  attachment, covetous affection', '妄執  【モウシュウ】  deep-rooted delusion, firm conviction (based on incorrect beliefs)']","['執る  【とる】  to take (trouble), to attend (to business), to command (army)']","['tenacious', 'take hold', 'grasp', 'take to heart']",37.0,322.0,3.2184210426364825e-05,1685.0,156935.0,0.00020002816262952537,878.0,1577.0,0.00015283149169932142,975.0,9225.0,0.00017919815034097376,1034.0,
834,湿,12.0,1517.0,junior high,N2,"{'｜': 'http:////jisho.org/search/%EF%BD%9C%20%23kanji', '汁': 'http:////jisho.org/search/%E6%B1%81%20%23kanji', '日': 'http:////jisho.org/search/%E6%97%A5%20%23kanji'}","{'水 (氵, 氺)': 'water'}","{'シツ': 'http:////jisho.org/search/%E6%B9%BF%20%E3%81%97%E3%81%A4', 'シュウ': 'http:////jisho.org/search/%E6%B9%BF%20%E3%81%97%E3%82%85%E3%81%86'}","{'しめ.る': 'http:////jisho.org/search/%E6%B9%BF%20%E3%81%97%E3%82%81%E3%82%8B', 'しめ.す': 'http:////jisho.org/search/%E6%B9%BF%20%E3%81%97%E3%82%81%E3%81%99', 'うるお.う': 'http:////jisho.org/search/%E6%B9%BF%20%E3%81%86%E3%82%8B%E3%81%8A%E3%81%86', 'うるお.す': 'http:////jisho.org/search/%E6%B9%BF%20%E3%81%86%E3%82%8B%E3%81%8A%E3%81%99'}","['湿度  【シツド】  level of humidity', '湿原  【シツゲン】  marshy grassland, wetlands', '多湿  【タシツ】  high humidity', '耐湿  【タイシツ】  resisting moisture']","['湿る  【しめる】  to become damp, to become moist, to become wet, to lack energy, to be in a slump, to be in low spirits, to feel depressed', '湿す  【しめす】  to wet, to moisten, to dampen']","['damp', 'wet', 'moist']",45.0,3313.0,0.0003311375439209524,605.0,23144.0,2.9499167144981903e-05,1787.0,283.0,2.742632349455166e-05,1653.0,2365.0,4.594077241803826e-05,2003.0,
835,嫉,13.0,2317.0,junior high,,"{'女': 'http:////jisho.org/search/%E5%A5%B3%20%23kanji', '疔': 'http:////jisho.org/search/%E7%96%94%20%23kanji', '矢': 'http:////jisho.org/search/%E7%9F%A2%20%23kanji', '乞': 'http:////jisho.org/search/%E4%B9%9E%20%23kanji'}","{'女': 'woman, female'}",{'シツ': 'http:////jisho.org/search/%E5%AB%89%20%E3%81%97%E3%81%A4'},"{'そね.む': 'http:////jisho.org/search/%E5%AB%89%20%E3%81%9D%E3%81%AD%E3%82%80', 'ねた.む': 'http:////jisho.org/search/%E5%AB%89%20%E3%81%AD%E3%81%9F%E3%82%80', 'にく.む': 'http:////jisho.org/search/%E5%AB%89%20%E3%81%AB%E3%81%8F%E3%82%80'}","['嫉む  【そねむ】  to be jealous of, to envy, to begrudge', '妬む  【ねたむ】  to be jealous of, to envy, to begrudge']",,"['jealous', 'envy']",,396.0,3.958058176658532e-05,1591.0,6946.0,8.853319002291925e-06,2439.0,9.0,8.722152348090635e-07,2762.0,2549.0,4.951502278798289e-05,1931.0,
836,漆,14.0,1971.0,junior high,N1,"{'个': 'http:////jisho.org/search/%E4%B8%AA%20%23kanji', '汁': 'http:////jisho.org/search/%E6%B1%81%20%23kanji', '木': 'http:////jisho.org/search/%E6%9C%A8%20%23kanji', '水': 'http:////jisho.org/search/%E6%B0%B4%20%23kanji'}","{'水 (氵, 氺)': 'water'}",{'シツ': 'http:////jisho.org/search/%E6%BC%86%20%E3%81%97%E3%81%A4'},{'うるし': 'http:////jisho.org/search/%E6%BC%86%20%E3%81%86%E3%82%8B%E3%81%97'},"['漆芸  【シツゲイ】  (Japanese) lacquer art', '膠漆  【コウシツ】  glue and lacquer, great intimacy', '仮漆  【カシツ】  varnish']","['漆  【うるし】  lacquer, varnish, japan, lacquer tree (Toxicodendron vernicifluum)', '漆塗り  【うるしぬり】  lacquering, lacquer ware', '生漆  【きうるし】  unrefined sap of the lacquer tree', '透漆  【すきうるし】  clear lacquer']","['lacquer', 'varnish', 'seven']",59.0,60.0,5.9970578434220174e-06,2403.0,12136.0,1.5468453701672157e-05,2135.0,63.0,6.1055066436634435e-06,2148.0,1168.0,2.2688719739648496e-05,2534.0,
837,質,15.0,389.0,grade 5,N4,"{'ハ': 'http:////jisho.org/search/%E3%83%8F%20%23kanji', '斤': 'http:////jisho.org/search/%E6%96%A4%20%23kanji', '目': 'http:////jisho.org/search/%E7%9B%AE%20%23kanji', '貝': 'http:////jisho.org/search/%E8%B2%9D%20%23kanji'}",{'貝': 'shell'},"{'シツ': 'http:////jisho.org/search/%E8%B3%AA%20%E3%81%97%E3%81%A4', 'シチ': 'http:////jisho.org/search/%E8%B3%AA%20%E3%81%97%E3%81%A1', 'チ': 'http:////jisho.org/search/%E8%B3%AA%20%E3%81%A1'}","{'たち': 'http:////jisho.org/search/%E8%B3%AA%20%E3%81%9F%E3%81%A1', 'ただ.す': 'http:////jisho.org/search/%E8%B3%AA%20%E3%81%9F%E3%81%A0%E3%81%99', 'もと': 'http:////jisho.org/search/%E8%B3%AA%20%E3%82%82%E3%81%A8', 'わりふ': 'http:////jisho.org/search/%E8%B3%AA%20%E3%82%8F%E3%82%8A%E3%81%B5'}","['質  【シツ】  quality, value, nature, inherent quality, character, logical quality', '質疑  【シツギ】  question, interpellation', '変質  【ヘンシツ】  alteration (of character or essence), change in quality, transformation, deterioration, degeneration, transmutation', 'タンパク質  【タンパクシツ】  protein', '質  【シチ】  pawn, pawned article, pledge, security, guarantee', '質屋  【シチヤ】  pawnshop', '入質  【ニュウシチ】  pawning', '流質  【リュウシチ】  forfeiting a pawned article', '入質  【ニュウシチ】  pawning', '流質  【リュウシチ】  forfeiting a pawned article']","['質  【たち】  nature (of a person), disposition, temperament, nature (of something), character, kind, sort', '質がいい  【たちがいい】  good-natured, of good character', '質す  【ただす】  to enquire of someone about something (inquire), to question']","['substance', 'quality', 'matter', 'temperament']",24.0,2710.0,0.0002708671125945611,699.0,350901.0,0.0004472557574464784,533.0,5391.0,0.000522456925650629,499.0,32350.0,0.0006284076058027644,352.0,19
838,実,8.0,68.0,grade 3,N3,"{'士': 'http:////jisho.org/search/%E5%A3%AB%20%23kanji', '大': 'http:////jisho.org/search/%E5%A4%A7%20%23kanji', '宀': 'http:////jisho.org/search/%E5%AE%80%20%23kanji'}",{'宀': 'roof'},"{'ジツ': 'http:////jisho.org/search/%E5%AE%9F%20%E3%81%98%E3%81%A4', 'シツ': 'http:////jisho.org/search/%E5%AE%9F%20%E3%81%97%E3%81%A4'}","{'み': 'http:////jisho.org/search/%E5%AE%9F%20%E3%81%BF', 'みの.る': 'http:////jisho.org/search/%E5%AE%9F%20%E3%81%BF%E3%81%AE%E3%82%8B', 'まこと': 'http:////jisho.org/search/%E5%AE%9F%20%E3%81%BE%E3%81%93%E3%81%A8', 'みの': 'http:////jisho.org/search/%E5%AE%9F%20%E3%81%BF%E3%81%AE', 'みち.る': 'http:////jisho.org/search/%E5%AE%9F%20%E3%81%BF%E3%81%A1%E3%82%8B'}","['実  【ジツ】  truth, reality, sincerity, honesty, fidelity, content, substance, (good) result', '実演  【ジツエン】  demonstration, presentation, stage show, performance', '名実  【メイジツ】  in name and in reality, nominally and virtually, form and contents', '内実  【ナイジツ】  the facts, the truth, the true state of affairs, in truth, in fact, in reality, actually', '故実  【コジツ】  ancient practices, old customs']","['実  【み】  fruit, nut, seed, (in broth) pieces of meat, vegetable, etc., content, substance', '実り  【みのり】  ripening (of a crop), crop, harvest', '浮き実  【うきみ】  soup garnish', '桷  【ずみ】  Toringo crabapple (Malus sieboldii)', '実る  【みのる】  to bear fruit, to ripen', ""誠  【まこと】  truth, reality, sincerity, honesty, integrity, fidelity, that's right"", '実に  【じつに】  indeed, really, absolutely, truly, actually, very, quite', '嘘から出たまこと  【うそからでたまこと】  something intended as a lie or joke which (by chance) ends up being true, lie turned truth', '実り  【みのり】  ripening (of a crop), crop, harvest', '実る  【みのる】  to bear fruit, to ripen']","['reality', 'truth']",9.0,15505.0,0.0015497396977043065,147.0,1217331.0,0.0015516008745146892,152.0,20345.0,0.0019716909946878216,113.0,116094.0,0.002255157730697562,65.0,
839,芝,6.0,1052.0,junior high,N1,"{'亠': 'http:////jisho.org/search/%E4%BA%A0%20%23kanji', '艾': 'http:////jisho.org/search/%E8%89%BE%20%23kanji'}",{'艸 (艹)': 'grass'},{'シ': 'http:////jisho.org/search/%E8%8A%9D%20%E3%81%97'},{'しば': 'http:////jisho.org/search/%E8%8A%9D%20%E3%81%97%E3%81%B0'},"['芝  【シバ】  lawn, sod, turf', '芝居  【シバイ】  play, drama', '霊芝  【レイシ】  bracket fungus (Ganoderma lucidum), reishi mushroom']","['芝  【しば】  lawn, sod, turf', '芝居  【しばい】  play, drama', '高麗芝  【こうらいしば】  Korean lawn grass', '道芝  【みちしば】  roadside grass, roadside weeds, guidance (sometimes esp. referring to guidance in love), guidepost, guide, Chinese fountain grass (Pennisetum alopecuroides)']","['turf', 'lawn']",42.0,752.0,7.516312497088928e-05,1311.0,110590.0,0.00014095717657118686,1039.0,847.0,8.208514487591964e-05,1222.0,11820.0,0.00022960673572144282,877.0,
840,写,5.0,453.0,grade 3,N4,"{'一': 'http:////jisho.org/search/%E4%B8%80%20%23kanji', '冖': 'http:////jisho.org/search/%E5%86%96%20%23kanji', '勹': 'http:////jisho.org/search/%E5%8B%B9%20%23kanji'}",{'冖': 'cover'},"{'シャ': 'http:////jisho.org/search/%E5%86%99%20%E3%81%97%E3%82%83', 'ジャ': 'http:////jisho.org/search/%E5%86%99%20%E3%81%98%E3%82%83'}","{'うつ.す': 'http:////jisho.org/search/%E5%86%99%20%E3%81%86%E3%81%A4%E3%81%99', 'うつ.る': 'http:////jisho.org/search/%E5%86%99%20%E3%81%86%E3%81%A4%E3%82%8B', 'うつ-': 'http:////jisho.org/search/%E5%86%99%20%E3%81%86%E3%81%A4', 'うつ.し': 'http:////jisho.org/search/%E5%86%99%20%E3%81%86%E3%81%A4%E3%81%97'}","['写真集  【シャシンシュウ】  collection of photographs, photoalbum', '写真  【シャシン】  photograph, photo, picture, snapshot, snap, movie', '実写  【ジッシャ】  on-the-spot filming or photography, live filming (as opposed to animation), actual picture (as opposed to a drawing), photographic image (as opposed to a drawing, computer-generated image, etc.), real picture or story (as opposed to fiction, imaginary scene, etc.), describing actual scenes (in writing, drawings, paintings, etc.), documentary (film)', '活写  【カッシャ】  vivid description, painting a lively picture of']","['写す  【うつす】  to transcribe, to duplicate, to reproduce, to imitate, to trace, to describe, to film, to picture, to photograph', '写る  【うつる】  to be photographed, to be projected', '写し  【うつし】  copy, duplicate, facsimile, transcript', '映し出す  【うつしだす】  to project, to show, to portray, to depict, to describe, to reflect']","['copy', 'be photographed', 'describe']",4.0,14048.0,0.0014041111430732082,167.0,300905.0,0.00038353123443487635,604.0,4232.0,0.0004101349859679951,591.0,16831.0,0.0003269467824811848,681.0,17
841,社,7.0,21.0,grade 2,N4,"{'土': 'http:////jisho.org/search/%E5%9C%9F%20%23kanji', '礼': 'http:////jisho.org/search/%E7%A4%BC%20%23kanji'}",{'示 (礻)': 'sign'},{'シャ': 'http:////jisho.org/search/%E7%A4%BE%20%E3%81%97%E3%82%83'},{'やしろ': 'http:////jisho.org/search/%E7%A4%BE%20%E3%82%84%E3%81%97%E3%82%8D'},"['社  【シャ】  company, association, society, regional Chinese god of the earth (or a village built in its honour), counter for companies, shrines, etc.', '社員  【シャイン】  company employee, member of a corporation, company stockholder (esp. in legal contexts)', '大社  【タイシャ】  grand shrine, famous shrine, Izumo Grand Shrine', '親会社  【オヤガイシャ】  parent company']","['社  【やしろ】  shrine (usually Shinto)', '大社  【たいしゃ】  grand shrine, famous shrine, Izumo Grand Shrine', '村のお社  【むらのおやしろ】  village shrine']","['company', 'firm', 'office', 'association', 'shrine']",5.0,10766.0,0.001076072079038024,227.0,2854199.0,0.0036379404323384117,35.0,27185.0,0.0026345745731427093,76.0,59541.0,0.0011566002243308313,187.0,7
842,車,7.0,333.0,grade 1,N5,{'車': 'http:////jisho.org/search/%E8%BB%8A%20%23kanji'},"{'車': 'cart, car'}",{'シャ': 'http:////jisho.org/search/%E8%BB%8A%20%E3%81%97%E3%82%83'},{'くるま': 'http:////jisho.org/search/%E8%BB%8A%20%E3%81%8F%E3%82%8B%E3%81%BE'},"['車  【シャ】  car, vehicle', '車検  【シャケン】  vehicle inspection', '見切り発車  【ミキリハッシャ】  starting a train (or bus, etc.) before all the passengers are on board, making a snap decision, starting an action without considering objections to it any longer', '軽自動車  【ケイジドウシャ】  light motor vehicle (up to 660cc and 64bhp), k-car, kei car']","['車  【くるま】  car, automobile, vehicle, wheel', '車椅子  【くるまいす】  wheelchair, folding push-chair', '火の車  【ひのくるま】  fiery chariot (which carries the souls of sinners into hell), desperate financial situation, dire straits']",['car'],4.0,25424.0,0.002541153310186023,69.0,2028080.0,0.002584975410620243,68.0,16387.0,0.001588110116979569,154.0,55903.0,0.0010859310784294262,203.0,8
843,舎,8.0,1170.0,grade 5,N1,"{'个': 'http:////jisho.org/search/%E4%B8%AA%20%23kanji', '口': 'http:////jisho.org/search/%E5%8F%A3%20%23kanji', '土': 'http:////jisho.org/search/%E5%9C%9F%20%23kanji'}","{'人 (亻)': 'man, human'}","{'シャ': 'http:////jisho.org/search/%E8%88%8E%20%E3%81%97%E3%82%83', 'セキ': 'http:////jisho.org/search/%E8%88%8E%20%E3%81%9B%E3%81%8D'}",{'やど.る': 'http:////jisho.org/search/%E8%88%8E%20%E3%82%84%E3%81%A9%E3%82%8B'},"[""舎  【シャ】  hut, house, (in the ancient Chinese army) one day's march (approx. 12.2 km)"", '舎弟  【シャテイ】  my younger brother, underling (e.g. in yakuza)', '公舎  【コウシャ】  official residence', '兵舎  【ヘイシャ】  barracks']",,"['cottage', 'inn', 'hut', 'house', 'mansion']",35.0,1511.0,0.0001510259066901778,987.0,183418.0,0.0002337831938903513,799.0,1123.0,0.00010883307874339758,1103.0,12654.0,0.0002458074140286918,834.0,
844,者,8.0,38.0,grade 3,N4,"{'老': 'http:////jisho.org/search/%E8%80%81%20%23kanji', '日': 'http:////jisho.org/search/%E6%97%A5%20%23kanji'}",{'老 (耂)': 'old'},{'シャ': 'http:////jisho.org/search/%E8%80%85%20%E3%81%97%E3%82%83'},{'もの': 'http:////jisho.org/search/%E8%80%85%20%E3%82%82%E3%81%AE'},"['者  【シャ】  someone of that nature, someone doing that work', '芸者  【ゲイシャ】  geisha, professional female entertainer, usu. at traditional banquets', '加害者  【カガイシャ】  assailant, perpetrator, wrong-doer, aggressor']","['者  【もの】  person', '者ども  【ものども】  you, people', '弱き者  【よわきもの】  weak person, the weak', '若い者  【わかいもの】  young man, young woman, young people, youth, youngsters, young employee, young manservant, young follower']","['someone', 'person']",8.0,11805.0,0.001179921130693282,205.0,3980752.0,0.005073836355458046,14.0,55639.0,0.005392131494393497,15.0,213766.0,0.004152463068378168,31.0,14
845,射,10.0,937.0,grade 6,N1,"{'寸': 'http:////jisho.org/search/%E5%AF%B8%20%23kanji', '身': 'http:////jisho.org/search/%E8%BA%AB%20%23kanji'}","{'寸': 'thumb, inch'}",{'シャ': 'http:////jisho.org/search/%E5%B0%84%20%E3%81%97%E3%82%83'},"{'い.る': 'http:////jisho.org/search/%E5%B0%84%20%E3%81%84%E3%82%8B', 'さ.す': 'http:////jisho.org/search/%E5%B0%84%20%E3%81%95%E3%81%99', 'う.つ': 'http:////jisho.org/search/%E5%B0%84%20%E3%81%86%E3%81%A4'}","['射  【シャ】  archery, mapping, map, morphism, arrow', '射撃  【シャゲキ】  firing, shooting, fire, gunshot, marksmanship', '照射  【ショウシャ】  irradiation, radiation, beaming, exposure (to light), illumination', '投射  【トウシャ】  projection']","['射る  【いる】  to shoot (arrow, bolt, dart)', '射す  【さす】  to shine', '撃つ  【うつ】  to shoot (at), to attack, to defeat, to destroy, to avenge']","['shoot', 'shine into', 'onto', 'archery']",34.0,1058.0,0.00010574811997234157,1142.0,227176.0,0.0002895568093384207,715.0,2561.0,0.0002481936907051124,783.0,10189.0,0.0001979241142356837,967.0,
